Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	3.7091495990753174	22.293045	23.317293	132.62253	5.2394886	24.625	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.729163	6.7094154	36.67838	-2.6259475	10.1052065	9.05973	48.58363	-1.3433347	-0.0061865887	0.047799826	0.16857295	-0.16255322	-10.111393	9.070131	1.380724	-48.578903	10.145801	9.031627	48.578903	0.0015084072	-0.66078264	0.36803898	0.13807239	-1.0099081	184.50757	321.93195	2359.91	2.2752922e-06	9.227103	9.629298	48.574177	2.2752923e-07
1	1999	6.824235439300537	20.814556	20.167421	124.153015	5.428253	23.5	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7483964	7.3103423	39.080383	-2.8002496	10.984582	9.529416	48.683903	-0.9443767	-0.0039523044	0.046874445	0.1873202	-0.16224205	-10.988535	9.540507	0.9013307	-48.688946	11.003257	9.523523	48.688946	0.010138883	-0.68888617	0.3561483	0.09013307	-1.0123336	211.76918	347.30273	2370.6133	0.000102796956	10.116433	10.14891	48.69399	1.0279696e-05
2	2999	10.231616258621216	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2427897	9.662742	58.47826	-4.9938407	10.739811	12.036866	74.159966	-2.5599966	-0.008469308	0.043854173	0.14607239	-0.1162291	-10.74828	12.045053	2.5024695	-74.17783	10.850833	11.952749	74.17783	0.004840643	-0.64133024	0.3899804	0.25024694	-1.007716	260.6088	697.6268	5502.351	2.3431827e-05	9.972205	12.455373	74.19571	2.3431828e-06
3	3999	13.620061874389648	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.590205	5.223795	26.146915	-3.7620258	8.85311	7.3463855	36.12098	-1.6736872	-0.0084248325	0.046498656	0.16572559	-0.1531436	-8.861535	7.3598332	1.622532	-36.12196	8.906902	7.304865	36.12196	0.0096228905	-0.6338095	0.3774763	0.1622532	-1.0088505	132.69395	191.04324	1304.7959	9.2600014e-05	7.968458	7.9119225	36.12294	9.260001e-06
4	4999	17.412065029144287	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312553	0.0	60.312553	60.312553	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.659572	6.1368732	31.83089	-0.9763319	9.697317	8.446303	43.746334	-0.7335528	-0.0038977338	0.04480517	0.14505142	-0.13319752	-9.701216	8.457614	0.67892385	-43.791626	9.705785	8.452368	43.791626	0.0013547449	-0.6547917	0.36147785	0.06789238	-1.0126789	165.6448	276.27405	1917.7067	1.8353337e-06	8.749803	9.069452	43.836967	1.8353337e-07
5	5999	2565.229807138443	159.95836	80.158226	306.92307	23.942968	81.833336	346.81934	0.0	346.81934	346.81934	164.0	106.63303	64.35729	231.9223	-65.10746	30.35784	-0.17616151	2.0832129	14.162564	-10.315588	-114.500725	0.90397495	0.04701637	0.99970007	0.8259133	-0.09313768	0.950425	0.665807	4.4443502	2.9057264e-06	114.1074	42.709267	159.5397	2.5890822	126.9375	48.73338	181.32849	2.5890822	193.94138	39.475723	254.48508	2.1987665	67.00389	39.076885	153.2875	-33.748695	67.38654	38.41327	153.2875	0.05021599	0.91387814	1.1655699	9.656081	-0.2143597	6016.5244	6028.2246	23497.06	0.0025216457	85.70462	118.80169	932.3991	0.00020336456
6	6999	4862.434130430222	310.71133	23.253939	351.50726	280.21906	143.42857	284.3044	0.0	284.3044	284.3044	128.0	207.68544	57.14807	276.34366	-65.045364	58.239147	0.20199384	2.3816748	15.242373	-10.35761	-219.3152	0.74010044	0.049484663	0.8257577	0.65294755	-0.24254192	0.9956541	0.71576476	5.3255973	6.854534e-07	89.13387	44.556953	154.9248	0.4032776	97.16969	49.98907	173.98624	0.33143094	204.34274	60.267498	262.45038	-83.57966	107.17304	28.041147	152.82849	-83.98293	107.67795	26.03511	152.82849	0.6005962	1.8228143	1.9936175	11.000341	-8.3982935	12272.365	4839.758	23356.547	0.36071578	201.25883	203.42271	1210.0751	0.036071576
7	7999	7169.7185525894165	305.92734	32.814674	351.16678	257.20367	146.16667	353.25803	0.0	353.25803	353.25803	182.0	193.19795	61.45651	264.33472	-84.17456	45.484814	-0.021796787	2.4048636	14.766558	-10.074698	-202.47878	0.56173384	0.05198663	0.6527631	0.4749967	-0.6006876	0.971309	0.7167187	6.521052	1.411885e-06	104.491264	43.27802	160.93112	1.0679699	117.87749	49.83681	180.09787	1.0679699	162.41614	49.81487	213.36491	11.924733	44.538647	27.513245	115.092026	-11.262226	44.761353	27.149418	115.092026	0.09555983	0.65443397	0.93567157	6.786777	-0.12387429	2740.6697	2957.1926	13246.174	0.009131681	39.48036	61.476086	460.6034	0.00011482665
8	8999	9532.307577848434	321.05374	82.81423	419.13773	142.35237	163.0	252.99443	0.0	252.99443	252.99443	109.0	154.52562	50.14715	217.17447	-77.23024	26.526825	-0.18076997	2.3261259	14.941935	-11.440516	-161.12018	0.4048576	0.03804084	0.47483486	0.3421684	-1.0760007	0.9280628	0.6961189	5.31865	1.1920929e-07	104.78685	43.43852	149.21236	2.8191838	113.906624	48.314552	164.81116	2.8191838	134.37341	44.312035	180.40881	28.604212	20.466797	5.573146	36.474693	8.285337	20.466797	5.573146	36.474693	8.285337	0.3633173	0.58421594	3.647469	0.06856768	449.94974	247.46439	1330.4031	68.64681	9.545191	18.307714	133.04031	0.5681063
9	9999	11915.130975723267	304.63177	46.74568	364.0434	236.16476	140.14285	313.165	0.0	313.165	313.165	131.0	137.56569	45.463154	184.48468	-67.52512	18.763563	-0.17241488	2.3731205	16.253387	-12.94437	-142.91422	0.29350123	0.025647547	0.3420546	0.25349578	-1.4333718	0.9204062	0.69453895	6.423005	1.9073486e-06	119.34491	49.144207	168.60925	2.328462	130.19455	53.69634	186.50256	2.328462	111.41244	52.53069	163.84933	-16.688904	-18.782104	4.2330074	-6.4674306	-29.729567	18.782104	4.2330074	29.729567	6.4674306	-0.2159767	0.22339055	-0.060035374	-1.9384841	370.68582	156.1481	883.8471	41.82766	3.8977132	3.577817	37.5772	0.5291489
